จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,คะแนน
กรุงเทพมหานคร,1,1,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,14813
กรุงเทพมหานคร,1,1,นางสาวลลิดา เพริศวิวัฒนา,ภูมิใจไทย,14368
กรุงเทพมหานคร,1,2,พันตำรวจโทหญิง แสนสุข อุทยานินทร์,เศรษฐกิจ,979
กรุงเทพมหานคร,1,3,นายอัครพล คฤหเดชรัตนา,กล้าธรรม,244
กรุงเทพมหานคร,1,4,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,พลวัต,351
กรุงเทพมหานคร,1,5,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,34167
กรุงเทพมหานคร,1,6,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,6030
กรุงเทพมหานคร,1,7,นายภัทรพล หมดมลทิน,ไทยภักดี,1023
กรุงเทพมหานคร,1,8,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,2075
กรุงเทพมหานคร,1,10,นายวีระยุทธ ประกอบการ,ปวงชนไทย,168
กรุงเทพมหานคร,1,11,นายพิเชษฐ์ ไทยนิยม,ไทยสร้างไทย,629
กรุงเทพมหานคร,1,12,นายแทนคุณ จิตอิสระ,โอกาสใหม่,1133
กรุงเทพมหานคร,1,13,นายเลิศชาย สุจริตกุล,วิชชั่นใหม่,113
กรุงเทพมหานคร,1,14,นายมงคล เสมอภาพ,ประชาธิปไตยใหม่,94
กรุงเทพมหานคร,1,15,นายอดัม ชินรัตนพิสิทธิ์,รักชาติ,165
กรุงเทพมหานคร,1,16,นายกานต์ กิตติอำพน,ไทยก้าวใหม่,489
กรุงเทพมหานคร,1,17,นายประสงค์ ประสพโชค,ทางเลือกใหม่,154
กรุงเทพมหานคร,1,18,นายกิตติคุณ ชื่นแย้ม,พลังประชารัฐ,80
กรุงเทพมหานคร,2,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,39499
กรุงเทพมหานคร,2,4,นางสาวพัชรินทร์ ชำศิริพงษ์,ภูมิใจไทย,15949
กรุงเทพมหานคร,2,11,นายเจษฎา เลิศธนสาร,ประชาธิปัตย์,14613
กรุงเทพมหานคร,2,5,นายเดวิด มกรพงศ์,เพื่อไทย,5652
กรุงเทพมหานคร,2,7,นายวนัส ฮ้อแสงชัย,รวมไทยสร้างชาติ,1684
กรุงเทพมหานคร,2,9,นางกุลธิภัสร์ ธนวีรชุติวัฒน์,ไทยก้าวใหม่,1358
