รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
10,กรุงเทพมหานคร,1,1,ไทยทรัพย์ทวี,66
10,กรุงเทพมหานคร,1,2,เพื่อชาติไทย,130
10,กรุงเทพมหานคร,1,3,ใหม่,37
10,กรุงเทพมหานคร,1,4,มิติใหม่,35
10,กรุงเทพมหานคร,1,5,รวมใจไทย,226
10,กรุงเทพมหานคร,1,6,รวมไทยสร้างชาติ,1857
10,กรุงเทพมหานคร,1,7,พลวัต,103
10,กรุงเทพมหานคร,1,8,ประชาธิปไตยใหม่,323
10,กรุงเทพมหานคร,1,9,เพื่อไทย,6398
10,กรุงเทพมหานคร,1,10,ทางเลือกใหม่,300
10,กรุงเทพมหานคร,1,11,เศรษฐกิจ,1292
10,กรุงเทพมหานคร,1,12,เสรีรวมไทย,374
10,กรุงเทพมหานคร,1,13,รวมพลังประชาชน,160
10,กรุงเทพมหานคร,1,14,ท้องที่ไทย,7
10,กรุงเทพมหานคร,1,15,อนาคตไทย,29
10,กรุงเทพมหานคร,1,16,พลังเพื่อไทย,47
10,กรุงเทพมหานคร,1,17,ไทยชนะ,47
10,กรุงเทพมหานคร,1,18,พลังสังคมใหม่,10
10,กรุงเทพมหานคร,1,19,สังคมประชาธิปไตยไทย,8
10,กรุงเทพมหานคร,1,20,ฟิวชัน,17
10,กรุงเทพมหานคร,1,21,ไทรวมพลัง,22
10,กรุงเทพมหานคร,1,22,ก้าวอิสระ,8
10,กรุงเทพมหานคร,1,23,ปวงชนไทย,43
10,กรุงเทพมหานคร,1,24,วิชชั่นใหม่,14
10,กรุงเทพมหานคร,1,25,เพื่อชีวิตใหม่,7
10,กรุงเทพมหานคร,1,26,คลองไทย,39
10,กรุงเทพมหานคร,1,27,ประชาธิปัตย์,11795
10,กรุงเทพมหานคร,1,28,ไทยก้าวหน้า,45
10,กรุงเทพมหานคร,1,29,ไทยภักดี,2173
10,กรุงเทพมหานคร,1,30,แรงงานสร้างชาติ,14
10,กรุงเทพมหานคร,1,31,ประชากรไทย,40
10,กรุงเทพมหานคร,1,32,ครูไทยเพื่อประชาชน,19
10,กรุงเทพมหานคร,1,33,ประชาชาติ,38
10,กรุงเทพมหานคร,1,34,สร้างอนาคตไทย,17
10,กรุงเทพมหานคร,1,35,รักชาติ,144
10,กรุงเทพมหานคร,1,36,ไทยพร้อม,43
10,กรุงเทพมหานคร,1,37,ภูมิใจไทย,16471
10,กรุงเทพมหานคร,1,38,พลังธรรมใหม่,33
10,กรุงเทพมหานคร,1,39,กรีน,79
10,กรุงเทพมหานคร,1,40,ไทยธรรม,11
10,กรุงเทพมหานคร,1,41,แผ่นดินธรรม,8
10,กรุงเทพมหานคร,1,42,กล้าธรรม,114
10,กรุงเทพมหานคร,1,43,พลังประชารัฐ,69
10,กรุงเทพมหานคร,1,44,โอกาสใหม่,100
10,กรุงเทพมหานคร,1,45,เป็นธรรม,42
10,กรุงเทพมหานคร,1,46,ประชาชน,34215
10,กรุงเทพมหานคร,1,47,ประชาไทย,66
10,กรุงเทพมหานคร,1,48,ไทยสร้างไทย,675
10,กรุงเทพมหานคร,1,49,ไทยก้าวใหม่,650
10,กรุงเทพมหานคร,1,50,ประชาอาสาชาติ,1
10,กรุงเทพมหานคร,1,51,พร้อม,13
10,กรุงเทพมหานคร,1,52,เครือข่ายชาวนาแห่งประเทศไทย,6
10,กรุงเทพมหานคร,1,53,ไทยพิทักษ์ธรรม,3
10,กรุงเทพมหานคร,1,54,ความหวังใหม่,8
10,กรุงเทพมหานคร,1,55,ไทยรวมไทย,6
10,กรุงเทพมหานคร,1,56,เพื่อบ้านเมือง,12
10,กรุงเทพมหานคร,1,57,พลังไทยรักชาติ,8
10,กรุงเทพมหานคร,2,1,ไทยทรัพย์ทวี,39
10,กรุงเทพมหานคร,2,2,เพื่อชาติไทย,280
10,กรุงเทพมหานคร,2,3,ใหม่,69
10,กรุงเทพมหานคร,2,4,มิติใหม่,129
10,กรุงเทพมหานคร,2,5,รวมใจไทย,215
10,กรุงเทพมหานคร,2,6,รวมไทยสร้างชาติ,1819
10,กรุงเทพมหานคร,2,7,พลวัต,116
10,กรุงเทพมหานคร,2,8,ประชาธิปไตยใหม่,211
10,กรุงเทพมหานคร,2,9,เพื่อไทย,6226
10,กรุงเทพมหานคร,2,10,ทางเลือกใหม่,358
10,กรุงเทพมหานคร,2,11,เศรษฐกิจ,1578
10,กรุงเทพมหานคร,2,12,เสรีรวมไทย,388
10,กรุงเทพมหานคร,2,13,รวมพลังประชาชน,189
10,กรุงเทพมหานคร,2,14,ท้องที่ไทย,16
